"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"1164025","occ","","","149728","Theropoda","unranked clade","38513","Kimmeridgian","","157.3","152.1","33897"
"1164026","occ","31712","","149729","Ornithopoda","unranked clade","38713","Late Barremian","","130","125.45","56191"
"1164027","occ","","","149730","Dinosauria","unranked clade","52775","Early Cretaceous","","145","100.5","33897"
"1164028","occ","31708","","149731","Theropoda","unranked clade","38513","Late Berriasian","","145","140.2","56191"
"1164029","occ","","","149732","Plateosaurus","genus","38644","Late Triassic","","237","201.3","33897"
"1164030","occ","","","92297","Aves","class","36616","Late Campanian","","83.5","70.6","47964"
"1164033","occ","","","149733","Theropoda","unranked clade","38513","Late Campanian","","83.5","70.6","47964"
"1164034","occ","","","149733","Ornithopoda","unranked clade","38713","Late Campanian","","83.5","70.6","47964"
"1164035","occ","","","149733","Aves","class","36616","Late Campanian","","83.5","70.6","47964"
"1164037","occ","","","149734","Theropoda","unranked clade","38513","Late Campanian","","83.5","70.6","47964"
"1164039","occ","29780","I","149736","Grallator (Eubrontes)","subgenus","66094","Late Jurassic","","163.5","145","47964"
"1164041","occ","","","149738","Theropoda","unranked clade","38513","Late Campanian","","83.5","70.6","47964"
"1164042","occ","","","149739","Theropoda","unranked clade","38513","Late Campanian","","83.5","70.6","47964"
"1164043","occ","","","55245","Aves","class","36616","Late Campanian","","83.5","70.6","47964"
"1164044","occ","","","149601","Theropoda","unranked clade","38513","Late Kimmeridgian","","155.7","150.8","47966"
"1164045","occ","","","149740","Theropoda","unranked clade","38513","Late Kimmeridgian","","155.7","150.8","47966"
"1164047","occ","","","149602","Sauropoda","unranked clade","38653","Late Kimmeridgian","","155.7","150.8","47966"
"1164048","occ","","","149741","Theropoda","unranked clade","38513","Late Kimmeridgian","","155.7","150.8","47966"
"1164049","occ","","","149742","Theropoda","unranked clade","38513","Late Kimmeridgian","","155.7","150.8","47966"
"1164050","occ","","","149742","Sauropoda","unranked clade","38653","Late Kimmeridgian","","155.7","150.8","47966"
"1164051","occ","","","149742","Dinosauria","unranked clade","52775","Late Kimmeridgian","","155.7","150.8","47966"
"1164052","occ","","","149743","Sauropoda","unranked clade","38653","Late Kimmeridgian","","155.7","150.8","47966"
"1164053","occ","","","149744","Dinosauria","unranked clade","52775","Late Kimmeridgian","","155.7","150.8","47966"
"1164054","occ","","","149745","Dinosauria","unranked clade","52775","Late Kimmeridgian","","155.7","150.8","47966"
"1164055","occ","","","149745","Sauropoda","unranked clade","38653","Late Kimmeridgian","","155.7","150.8","47966"
"1164056","occ","","","149747","Dinosauria","unranked clade","52775","Early Jurassic","Middle Jurassic","201.3","163.5","30640"
"1164057","occ","","","149748","Dinosauria","unranked clade","52775","Early Jurassic","Middle Jurassic","201.3","163.5","30640"
"1164058","occ","","","149749","Dinosauria","unranked clade","52775","Early Jurassic","Middle Jurassic","201.3","163.5","30640"
"1164059","occ","","IF","149751","Tetrasauropus unguiferus","species","77114","Carnian","Norian","237","208.5","28154"
