"Anomoepus,"Anomoepus palmipes",196.05,196.05
"Pectinodon","Pectinodon",68.3,96.55
"Athene","Athene",0.00585,10.399999999999999
"Psittaciformes","Psittaciformes",0.00585,17.45
"Pseudotrisauropus,"Pseudotrisauropus subengensis",195.05,195.05
"Diamantinasaurus,"Diamantinasaurus matildae",94.9,96.55
"Protocitta,"Protocitta ajax",3.35,3.35
"Grus,"Grus pratensis",11.95,11.95
"Aves","Aves",0.00585,154.7
"Psittacosauridae","Psittacosauridae",112.75,132.0
"Sula,"Sula brandi",9.433,9.433
"Hydrochelidon","Hydrochelidon",1.29985,1.29985
"Geranoaetus","Geranoaetus",0.06885,1.29985
"Colymbus,"Colymbus nigricollis",0.063,1.29985
"Yueosaurus,"Yueosaurus tiantaiensis",103.45,103.45
"Falco,"Falco falconella",48.25,48.25
"Loricatosaurus,"Loricatosaurus priscus",162.95,162.95
"Velociraptorichnus","Velociraptorichnus",77.05,77.05
"Neophrontops","Neophrontops",0.06885,8.470500000000001
"Zapsalis,"Zapsalis abradens",77.05,77.05
"Sillimanius,"Sillimanius gracilior",196.05,196.05
"Dunhuangia,"Dunhuangia cuii",119.0,119.0
"Neilus,"Neilus sansomae",17.45,17.45
"Sinosauropteryx,"Sinosauropteryx prima",126.22999999999999,126.22999999999999
"Dinehichnus","Dinehichnus",153.25,154.25
"Cardiodon,"Cardiodon rugulosus",166.2,166.2
"Epidexipteryx,"Epidexipteryx hui",162.95,162.95
"Nankangia","Nankangia",69.05,69.05
"Puffinus,"Puffinus holeae",0.06885,0.06885
"Lufengopus","Lufengopus",168.8,168.8
"Macroolithus,"Macroolithus rugustus",69.05,83.25
"Gongbusaurus,"Gongbusaurus wucaiwanensis",161.7,161.7
"Coelurus","Coelurus",117.245,156.0
"Eostega,"Eostega lebedinskyi",44.55,44.55
"Anthornis,"Anthornis melanura",0.063,0.06885
"Aegolius,"Aegolius martae",0.4535,0.4535
"Acrocanthosaurus","Acrocanthosaurus",115.72999999999999,117.245
"Tereingaornis,"Tereingaornis moisleyi",3.3,3.3
"Miocepphus,"Miocepphus mcclungi",8.470500000000001,21.735
"Rhegminornis,"Rhegminornis calobates",18.2,18.2
"Moyenisauropus,"Moyenisauropus karaszevskii",198.9,198.9
"Dromaius","Dromaius",0.06885,13.789000000000001
"Continuoolithus","Continuoolithus",77.05,77.05
"Eubrontes,"Eubrontes sillimani",187.7,219.15
"Teratophoneus,"Teratophoneus curriei",77.05,77.05
"Cremaster,"Cremaster tytthus",0.06885,0.06885
"Sylviidae","Sylviidae",0.06885,0.06885
"Delphinornis,"Delphinornis arctowskii",35.95,35.95
"Aquila,"Aquila chrysaetos",0.063,2.894
"Eurofluvioviridavis,"Eurofluvioviridavis robustipes",44.5,44.5
"Agilisaurus,"Agilisaurus louderbacki",166.9,166.9
"Haplocheirus,"Haplocheirus sollers",160.4,160.4
"Colinus,"Colinus suilium",0.06885,3.35
"Tonsala,"Tonsala hildegardae",31.0,31.0
"Capella,"Capella media",4.4665,4.4665
"Dracoraptor,"Dracoraptor hanigani",200.3,200.3
"Delapparentia","Delapparentia",130.925,130.925
"Botauroides,"Botauroides parvus",42.900000000000006,42.900000000000006
